,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
57,17.0,11.0,11.0,17.0,24.0,11.0,10.0,25.0,14.0,27.0,20.0,16.0,15.0,29.0,20.0,16.0,17.0,42.0,12.0,25.0,24.0,39.0,22.0,27.0,27.0,18.0,25.0,22.0,33.0,30.0,32.0,16.0,18.0,14.0,20.0,13.0,22.0,28.0,32.0,21.0,24.0,29.0,13.0,17.0,0.0
58,19.0,7.0,8.0,40.0,30.0,16.0,14.0,32.0,28.0,26.0,35.0,28.0,22.0,51.0,23.0,37.0,27.0,55.0,12.0,40.0,35.0,56.0,23.0,27.0,24.0,26.0,32.0,19.0,41.0,40.0,45.0,25.0,21.0,19.0,20.0,23.0,31.0,43.0,31.0,30.0,19.0,38.0,18.0,17.0,0.0
59,22.0,18.0,15.0,30.0,26.0,23.0,14.0,30.0,20.0,26.0,28.0,21.0,30.0,50.0,27.0,32.0,29.0,41.0,20.0,37.0,27.0,52.0,27.0,32.0,31.0,26.0,36.0,27.0,45.0,40.0,39.0,24.0,18.0,17.0,21.0,16.0,33.0,42.0,44.0,29.0,16.0,37.0,22.0,19.0,0.0
60,13.0,12.0,17.0,10.0,10.0,9.0,10.0,14.0,2.0,4.0,2.0,6.0,8.0,8.0,8.0,14.0,7.0,7.0,7.0,1.0,9.0,4.0,11.0,7.0,15.0,5.0,10.0,5.0,3.0,15.0,9.0,13.0,7.0,9.0,23.0,4.0,9.0,5.0,7.0,17.0,8.0,7.0,8.0,9.0,0.0
61,6.0,9.0,8.0,9.0,7.0,7.0,8.0,9.0,4.0,3.0,3.0,16.0,7.0,8.0,5.0,10.0,5.0,5.0,9.0,2.0,8.0,5.0,6.0,2.0,9.0,4.0,7.0,7.0,5.0,9.0,6.0,13.0,6.0,4.0,12.0,7.0,5.0,5.0,2.0,18.0,15.0,4.0,6.0,10.0,0.0
62,6.0,8.0,17.0,8.0,7.0,8.0,9.0,8.0,3.0,6.0,4.0,10.0,4.0,7.0,4.0,7.0,2.0,3.0,7.0,2.0,4.0,1.0,7.0,4.0,10.0,5.0,6.0,9.0,2.0,10.0,6.0,6.0,2.0,3.0,11.0,6.0,4.0,7.0,3.0,11.0,8.0,5.0,6.0,6.0,0.0
63,10.0,11.0,16.0,9.0,9.0,10.0,6.0,11.0,4.0,5.0,2.0,9.0,6.0,13.0,6.0,11.0,6.0,6.0,9.0,0.0,8.0,3.0,6.0,8.0,8.0,6.0,8.0,10.0,1.0,13.0,6.0,10.0,4.0,8.0,9.0,6.0,7.0,7.0,5.0,16.0,4.0,7.0,7.0,10.0,0.0
64,2.0,0.0,0.0,0.0,2.0,1.0,5.0,2.0,2.0,1.0,0.0,1.0,2.0,5.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,7.0,2.0,2.0,1.0,3.0,1.0,0.0,10.0,0.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,0.0
65,2.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0,7.0,7.0,9.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,0.0,3.0,3.0,7.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,5.0,1.0,1.0,1.0,0.0
66,4.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,8.0,10.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,0.0,3.0,1.0,8.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
