,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
37,6.0,11.0,7.0,11.0,7.0,10.0,8.0,17.0,5.0,5.0,14.0,10.0,9.0,7.0,7.0,5.0,9.0,8.0,4.0,9.0,21.0,14.0,36.0,5.0,16.0,8.0,12.0,10.0,23.0,5.0,7.0,6.0,3.0,11.0,6.0,13.0,41.0,7.0,21.0,2.0,5.0,9.0,5.0,10.0,0.0
38,4.0,7.0,7.0,7.0,16.0,7.0,3.0,6.0,8.0,4.0,5.0,4.0,12.0,11.0,11.0,4.0,5.0,10.0,3.0,11.0,14.0,1.0,10.0,11.0,8.0,13.0,7.0,5.0,8.0,9.0,4.0,6.0,1.0,3.0,1.0,3.0,10.0,6.0,7.0,3.0,5.0,5.0,6.0,9.0,0.0
39,1.0,7.0,2.0,6.0,4.0,10.0,3.0,1.0,3.0,1.0,0.0,6.0,3.0,5.0,5.0,6.0,1.0,6.0,10.0,3.0,4.0,3.0,10.0,2.0,3.0,4.0,5.0,3.0,4.0,6.0,4.0,6.0,2.0,3.0,2.0,0.0,3.0,9.0,5.0,5.0,5.0,4.0,4.0,8.0,0.0
40,12.0,38.0,16.0,19.0,9.0,20.0,14.0,38.0,6.0,22.0,7.0,9.0,16.0,32.0,27.0,16.0,13.0,32.0,47.0,39.0,28.0,20.0,33.0,11.0,18.0,17.0,43.0,34.0,10.0,27.0,34.0,14.0,9.0,15.0,25.0,26.0,23.0,37.0,3.0,18.0,21.0,8.0,8.0,26.0,0.0
41,3.0,13.0,7.0,6.0,4.0,11.0,9.0,5.0,1.0,14.0,16.0,7.0,5.0,6.0,2.0,4.0,14.0,5.0,1.0,5.0,9.0,8.0,8.0,1.0,2.0,3.0,4.0,2.0,7.0,7.0,3.0,4.0,3.0,11.0,13.0,7.0,9.0,3.0,4.0,9.0,7.0,1.0,2.0,0.0,0.0
42,15.0,24.0,7.0,17.0,17.0,11.0,10.0,14.0,9.0,9.0,2.0,18.0,18.0,12.0,16.0,11.0,15.0,11.0,15.0,12.0,17.0,12.0,12.0,11.0,16.0,18.0,8.0,8.0,24.0,19.0,9.0,8.0,10.0,10.0,10.0,4.0,13.0,8.0,8.0,11.0,9.0,12.0,5.0,19.0,0.0
43,9.0,7.0,5.0,3.0,3.0,8.0,4.0,2.0,4.0,7.0,6.0,8.0,21.0,9.0,4.0,7.0,7.0,10.0,9.0,7.0,14.0,11.0,14.0,10.0,14.0,8.0,13.0,9.0,11.0,6.0,5.0,6.0,6.0,10.0,4.0,13.0,8.0,11.0,7.0,2.0,14.0,13.0,8.0,16.0,0.0
44,10.0,8.0,9.0,9.0,8.0,17.0,4.0,8.0,6.0,15.0,5.0,8.0,5.0,10.0,14.0,12.0,18.0,14.0,7.0,7.0,3.0,14.0,6.0,6.0,4.0,4.0,1.0,11.0,20.0,11.0,9.0,6.0,1.0,17.0,6.0,1.0,6.0,6.0,1.0,9.0,8.0,3.0,3.0,6.0,0.0
45,5.0,3.0,5.0,6.0,4.0,10.0,11.0,11.0,6.0,8.0,9.0,6.0,8.0,7.0,4.0,4.0,10.0,8.0,7.0,8.0,7.0,7.0,7.0,10.0,17.0,7.0,11.0,4.0,15.0,4.0,11.0,7.0,5.0,6.0,6.0,4.0,23.0,4.0,3.0,2.0,11.0,2.0,10.0,24.0,0.0
46,28.0,20.0,12.0,26.0,16.0,27.0,29.0,58.0,23.0,32.0,10.0,35.0,25.0,43.0,41.0,31.0,36.0,41.0,43.0,24.0,22.0,58.0,2.0,20.0,32.0,17.0,23.0,46.0,15.0,45.0,33.0,37.0,22.0,36.0,41.0,10.0,9.0,34.0,5.0,50.0,35.0,8.0,19.0,19.0,0.0
47,11.0,11.0,17.0,10.0,43.0,12.0,17.0,1.0,17.0,10.0,11.0,11.0,10.0,17.0,11.0,8.0,8.0,12.0,8.0,7.0,11.0,8.0,9.0,10.0,14.0,11.0,12.0,11.0,21.0,20.0,13.0,12.0,13.0,13.0,11.0,22.0,5.0,10.0,11.0,4.0,8.0,6.0,9.0,23.0,0.0
48,8.0,19.0,11.0,12.0,16.0,19.0,13.0,15.0,6.0,13.0,6.0,14.0,13.0,17.0,7.0,12.0,19.0,21.0,11.0,7.0,16.0,19.0,25.0,9.0,20.0,17.0,5.0,14.0,23.0,21.0,13.0,14.0,14.0,22.0,12.0,13.0,36.0,10.0,5.0,13.0,10.0,5.0,17.0,17.0,0.0
49,2.0,5.0,2.0,4.0,4.0,5.0,5.0,0.0,10.0,11.0,9.0,11.0,1.0,5.0,2.0,7.0,5.0,5.0,3.0,4.0,4.0,11.0,5.0,1.0,4.0,3.0,4.0,3.0,0.0,5.0,8.0,1.0,3.0,5.0,3.0,24.0,5.0,3.0,1.0,3.0,4.0,1.0,4.0,5.0,0.0
